Taxon,bio1,bio12,bio14,bio15,bio18,bio2,bio21,bio4,bio8,bio9,ave_petal_lgth,ave_petal_wth,petal_size,ave_mas_lgth,ave_mas_wth,mas_size,Showiness,Floral_structure,Habitat_type,Life_history,Average_NPP,showiness_res
MENALB,18.15749287,607.2840358,96.48765499,24.42688449,188.4153034,14.34155756,493.8170731,709.0632491,22.86625294,10.04497739,7.46,1.9,14.174,6.7,1.49,9.983,141.2670365,Staminode,Non_gypsum,Non_perennial,0.348816833,-0.825762872
MENARG,10.62333403,280.6848643,29.90991586,10.15808985,65.47820063,16.86299186,1642.624682,846.4815643,2.748874035,13.86010891,9.71,3.32,32.2372,6.89,1.85,12.7465,412.3001193,Stamen,Gypsum,Perennial,0.132843929,-0.697281889
MENARG2,8.903468625,256.5827903,27.16839324,16.19289466,60.13728944,17.14672706,1748.799763,884.9716989,13.82013208,0.777596269,10.39,3.65,37.9235,7.53,2.02,15.2106,575.9268083,Stamen,Gypsum,Perennial,0.199074167,-0.575065192
MENCAN,10.69817231,160.9131776,17.62365113,8.312549104,40.03584736,17.12800816,1624.872379,827.0406413,14.57742456,8.976296752,7.91,2.29,18.1139,5.65,0.97,5.4805,99.21876377,Stamen,Non_gypsum,Non_perennial,0.079734615,-1.249425046
MENCHR,10.06543394,331.6348013,56.74159848,8.347022516,140.1289267,17.07896466,1729.24637,826.840249,20.66133753,0.281799963,15.94,5.33,84.9602,14.12,3.85,54.362,4615.108336,Staminode,Non_gypsum,Non_perennial,0.245483333,0.474117309
MENCOL,9.6774623,425.0729343,61.32604434,9.834447905,128.9230149,18.54837986,2012.499918,788.9396841,18.69822268,12.85791378,13.21,4.76,62.8796,11.4,3.34,38.076,2393.284122,Staminode,Non_gypsum,Non_perennial,0.154366583,0.181813862
MENCON,7.534913009,411.0884276,66.94033647,20.45665549,143.4089836,17.95241814,2182.187025,842.520355,17.68275855,5.36693152,36.1,8.69,313.709,32.39,7.67,248.4313,77933.70577,Staminode,Non_gypsum,Non_perennial,0.2856852,1.190365188
MENCRO,13.02503351,218.5438605,29.15284588,7.679003958,58.30438657,15.73198794,1402.006989,937.8828515,21.56667934,12.42932617,11.63,3.35,38.9605,9.53,2.57,24.4921,951.7501358,Staminode,Non_gypsum,Non_perennial,0.124961604,-0.159539102
MENDEC,9.252605346,437.5396747,73.23568486,11.70623774,165.6276569,15.22372345,988.7914908,972.9800886,17.77301165,-2.009418836,57.66,18.25,1052.295,57,15.98,910.86,957997.8316,Staminode,Non_gypsum,Non_perennial,0.283173548,-0.722646061
MENDEN,8.126107978,300.1230788,55.00066236,8.04097003,129.5306798,16.89080853,2004.924667,805.7325996,17.9445049,-1.504089288,15.75,4.72,74.34,14.48,4.05,58.644,4359.742029,Staminode,Non_gypsum,Non_perennial,0.270615086,0.617578387
MENFIL,8.5830054,320.5519774,51.85026444,10.63199951,108.4158764,16.37824266,2157.429481,840.0501085,18.71239176,11.79702543,15.5,4.73,73.315,12.22,3.16,38.6152,2829.928738,Staminode,Non_gypsum,Non_perennial,0.172078256,0.150189157
MENFLU,7.925607157,277.0870211,32.05964156,15.96322747,75.31694811,16.8603862,1947.566714,817.4503817,18.01882481,-1.861507882,10.6,3.33,35.298,7.87,1.55,12.1985,428.9209997,Stamen,Gypsum,Perennial,0.22095275,-0.741399058
MENGOO,6.123833919,326.0764714,35.95953513,20.5508232,91.51793197,14.48960318,2247.397129,888.3763377,16.10446075,-1.091856335,16.26,7.55,122.763,8.57,2.76,23.6532,2893.977754,Staminode,Non_gypsum,Perennial,0.19113413,-0.505692143
MENHOL,9.683853663,363.3776802,67.73983834,10.64472249,138.0749654,18.29028565,2072.598433,761.71574,18.52599418,12.96246774,15.82,5.87,92.8634,13.66,3.77,51.4982,4781.917621,Staminode,Non_gypsum,Non_perennial,0.251889318,0.373904131
